28	default cheap mobile provider	cheapest mobile operator	buy sim	west europe	nord europe	europe	country	east	card	
45752	hold schengen visa valid	original itinerary fr 13nights	schengen visa	> fr 1night	fr 6nights	change itinerary	itinerary	change	15 days	addition	
45752	hold schengen visa valid	original itinerary fr 13nights	schengen visa	> fr 1night	fr 6nights	change itinerary	itinerary	change	15 days	addition	
45749	schengen visa	visa	applied	received	added	normal	spending	country	time	15 days	
45759	orlando esta visa waiver	nice holiday break	visa waiver	hotel details	question involves	orlando	end	august	valid	2 weeks	
45762	fresh schengen visa	belgium schengen visa	belgium visa	travel plans	goto italy	visa	italy	cons	tushar	changed	
26807	phong nha national park	major town east	c1 tourist visa	vietnamese tourist visa	standard 30 day	prefer answers	dong hoi	australian passport	visa extension	visa	
19559	teach english part time	give work visas	show papers proving	3 month multiple entry	1 month single entry	3 month extension	2nd visa	mine knew	current visa	1st visa	
45777	single entry schengen visa adequate	single entry schengen visa	schengen countries	cruise starting	cruise	covering	taking	rome	trip	
45777	single entry schengen visa adequate	single entry schengen visa	schengen countries	cruise starting	cruise	covering	taking	rome	trip	
45788	valid visa	buying round	return ticket	travel oneway	visit malaysia	book return	return	travel	book	malaysia	
45799	flight bound	connecting flight	filipino living	santiago chile	usa visa	usa	canada	continuing	question	stop	
25610	cheapest fares apply	cheapest fare	incredible fares	huge announcements	provide dates	thalys trips	dates	thalys	secure	paris	
45798	permanently 60 days	90 days rule	flew home	fly back	fly	back	mar 14	netherland	15 june	stay	
45800	single entry schengen visa	schengen visa	indian student	french embassy	changing plans	hotel bookings	visa form	visa application	initially applied	intended dates	
45808	cbp juxtaposed border control	buy duty free liquids	duty free liquids	style security check	duty free shopping	dublin airport website	duty free	smaller duty	free shop	optional shopping	
45800	single entry schengen visa	schengen visa	indian student	french embassy	changing plans	hotel bookings	visa form	visa application	initially applied	intended dates	
45713	shorter list	reliable list	passengers show	deal fairly	airway companies	horrible surprise	overbook flights	companies	horrible	overbook	
45824	indian citizen residing	visa procedure	schengen visa	visa	planning	entry	travel	port	austria	exit	
45810	video game consoles	carrying valuable goods	traveling international	electronic devices	declare goods	checked baggage	carrying	declare	baggage	tablets	
45839	flexible tickets tend	date return flight	open tickets fixed	open return date	return date	present evidence	general advice	related question	visa requirements	departure airport	
45839	flexible tickets tend	date return flight	open tickets fixed	open return date	return date	present evidence	general advice	related question	visa requirements	departure airport	
45759	orlando esta visa waiver	nice holiday break	visa waiver	hotel details	question involves	orlando	end	august	valid	2 weeks	
45767	larger tourist zone	ho chi minh	routes connecting vietnam	return flight booked	booked online	vietnam online	enter overland	bit worried	travel agencies	spending money	
45864	web site	rentals cost	feels kind	ve googled	back north	cheaper option	renting	suggestions	idea	immensely	
45874	passport locator number	public transit	rainbow bridge	tunnel bus	border crossings	birth certificate	niagara falls	8th av	solutions exist	canadian airport	
13867	passport locator number	birth certificate	united states	canada border	passport	canada	border	copy	usa	leave	
45913	b1/b2 visa	visa	pakistan	received	country	enter	arriving	thailand	problem	arrive	
45948	indian railways online	premium tatkal tickets	tatkal ticket	booked online	booked	urgent	book	
45953	single schengen visa entrance	country restriction written	single entrance	schengen visa	issuing visa	entry country	itinerary shows	visa	entry	issues	
45958	180 days spanish student visa	schengen state	return flight	depart	travel	strictly	india	airport	catch	indian	
45335	customs duty free zone	duty free zone	travel retail &amp	duty free	master thesis	paris cdg	shopping spree	specific focus	research purposes	research paper	
45982	cabin immensely cold	extremely warm	extra blanket	fairly arbitrary	return flight	flight attendant	recent flight	cooler temperature	air temperature	flight temperature	
44467	leaving international airport	transit visa required	transit visa	british passport	5 hour stopover	istanbul	delhi	india	katmandu	travelling	
46001	problem bringing back	2 moth summer internship	mumbai airport customs	macbook stays	macbook	ipad	buy	pio	discarding	travel	
46012	flight turkish airlines flew	flew back	connecting flight	british citizen	claim baggage	north terminal	visa applications	tuesday leaving	change terminals	azeri national	
46026	multiple entree visit visa	full time residence	visit visa	syrian citizen	visa expires	syrian passport	leave london	september 5th	september 1st	london	
46029	serbian national	iranian visa/stamp	iranian visa	usa visa	usa	living	netherlands	iran	business	country	
46035	sufficient bank balance	strong covering letter	bank balance	covering letter	relatives belong	itinerary includes	indian citizen	czech republic	czech embassy	month stay	
46035	sufficient bank balance	strong covering letter	bank balance	covering letter	relatives belong	itinerary includes	indian citizen	czech republic	czech embassy	month stay	
46052	visa / esta issues	fresh esta travel visa	proper visas prior	individual country included	restrict moms boarding	frequently changing regulations	required travel documents	valid travel documents	esta visa	valid esta	
46060	showing actual hotel booking	personal hotel vouchers confirming	accept emails confirmations	personal reservation	hotel voucher	email confirmations	city hall	schengen states	email confirmation	schengen countries	
46061	heathrow international airport	british air	transit visa	bahrain	usa	make	travelling	trip	
46067	ba  leaving heathrow t3	virgin atlantic flight	landing heathrow t5	virgin gate	2h35m sufficient	2h30 sufficient	british airways	t3	t5	correct	
46096	amman airport sunday 11am	short winter vacation	arranged private tour	day guided tour	real long time	tour terminates	early hour	hundred dollars	strip searched	day trip	
46093	south east asia	regular commercial flights	find cheap flights	compare flights carried	middle east	direct flights	simply searched	specific kind	major hub	home town	
46129	showing entry &amp	transport inside europe	schengen visa proof	visa people	short stay	bus systems	emphasis mine	south africa	schengen checklist	long series	
46132	insufficient reliable information	reliable answers	long paragraph	refused entry	bail rights	formally recorded	give satisfactory	limited funding	temporary admission	immigration officer	
46132	insufficient reliable information	reliable answers	long paragraph	refused entry	bail rights	formally recorded	give satisfactory	limited funding	temporary admission	immigration officer	
46132	insufficient reliable information	reliable answers	long paragraph	refused entry	bail rights	formally recorded	give satisfactory	limited funding	temporary admission	immigration officer	
46143	tourist schengen visa	schengen visa	exact regulations	expand questions	quick googling	programming conference	visa	conference	findings	desirable	
46143	tourist schengen visa	schengen visa	exact regulations	expand questions	quick googling	programming conference	visa	conference	findings	desirable	
46143	tourist schengen visa	schengen visa	exact regulations	expand questions	quick googling	programming conference	visa	conference	findings	desirable	
46143	tourist schengen visa	schengen visa	exact regulations	expand questions	quick googling	programming conference	visa	conference	findings	desirable	
46111	pay 500 euros worth	german national	completely wrong	completely absurd	electronic devices	parents live	past 2 years	half years	money back	unreasonable taxes	
46111	pay 500 euros worth	german national	completely wrong	completely absurd	electronic devices	parents live	past 2 years	half years	money back	unreasonable taxes	
46172	tier 5 youth mobility visa	youth mobility visa	border force requirement	tier 4 student visa	student visa starts	student visa	hour visa	british airport	confirmed booking	connect flights	
46182	green card holder	main destination	syrian passport	transit visa	geneva airport	lebanon	switzerland	
45958	180 days spanish student visa	schengen state	return flight	depart	travel	strictly	india	airport	catch	indian	
44728	visitor visa	bank statements	account	show	egypt	money	months	visit	egpyt	uk	
46187	minor heart problem	delta frequent flyer	business class rates	called delta	extra cost	lay flat	business class	save money	fly economy	mixed fare	
44271	times overlapped	180 days reset	180 days began	days	90 days	count	information	netherlands	stay	december	
44271	times overlapped	180 days reset	180 days began	days	90 days	count	information	netherlands	stay	december	
46202	vwp/esta pause	3 weeks left	stay allowance	allowance	left	canada	europe	family	count	expired	
46206	f1 student visa	visa required	transit visa	transit	phoenix	usa	india	germany	layover	travelling	
46210	buy machu picchu tickets	regular train ticket prices	extremely tight budget	scheduled arrival time	machu picchu region	avoiding altitude sickness	day heading back	appealing 2000 meters option	machu picchu	altitude sickness	
46210	buy machu picchu tickets	regular train ticket prices	extremely tight budget	scheduled arrival time	machu picchu region	avoiding altitude sickness	day heading back	appealing 2000 meters option	machu picchu	altitude sickness	
46177	starting date 11th	indian institute	visit switzerland	visa clear	visa starts	transit visa	zurich airport	student trainee	visa	zurich	
46221	flight originating	international flight	price originating	pay triple	flight	pay	price	triple	versus	opposite	
46230	countries/cities tax tourists	tourist tax	cities impose	economical benefit	term	littered	country	question	planning	tourism	
46244	specific dollar values	mexican pesos	debit card	beautiful mexico	general answers	fixed costs	upcoming vacation	canadian dollars	credit card	varies country	
46253	buy tickt	travel agents	ninety days	schengen visa	kindly advise	return ticekts	interrupted stay	uk visa	return back	ams stay	
46253	buy tickt	travel agents	ninety days	schengen visa	kindly advise	return ticekts	interrupted stay	uk visa	return back	ams stay	
46271	connecting flight	indian citizen	transit visa	visa	canada	staying	india	stop	london	
46272	indian passport holder	uk gov website	reaching heathrow airport	leaving heathrow	online application	6 months validity	tourist visa	transit visa	transit	visa	
46177	starting date 11th	indian institute	visit switzerland	visa clear	visa starts	transit visa	zurich airport	student trainee	visa	zurich	
46177	starting date 11th	indian institute	visit switzerland	visa clear	visa starts	transit visa	zurich airport	student trainee	visa	zurich	
46288	indian citizen holding indian passport	cayman islands	flying onward	transit visa	visa	cuba	require	72 hours	type	
46289	visa forms online require	converting patronymic names	patronymic form	provide clarity	world people	gokula krishnan	family	question	middle	naming	
46285	original birth certificate	expired passport	required documents	passport expired	citizen entering	citizen	canada	april 1	daughter	returning	
6304	return flight costs vary depending	entire years salary	return flight	prices depending	return flights	return tickets	people visit	vacation plans	airplane results	expensive £2000 trip	
46284	official indian passport	city tour	transit visa	schengen visa	flight layover	layover	turkey	istanbul	returning	12 hours	
46323	valid b2 tourist visa	irish immigration website	itinerary recently  update	require transit visa	called aer lingus	ireland transit visa	denied boarding earlier	transit visa	aer lingus	transit time	
46329	bad incidents high	western europe safer	western europe	crazy stories	young hitchhikers	safer	killers	travelling	travel	hitchhiking	
46353	schengen area revisited	schengen visa area	schengen area	schengen treaty	schengen agreement	canadian citizen	april 25th	initial entry	april 25th 2015	october 25th	
46366	schengen visa single entry	category tourist visa	single entry	schengen countries	fly back	back	travel	delhi	traveling	hungary	
46370	flight / travel strategy	top germany travel/sightseeing lists	pick random things	major cities driving	visit germany &amp	nice car	electronic nightclubs	nice highways	newark ewr	rental car	
46370	flight / travel strategy	top germany travel/sightseeing lists	pick random things	major cities driving	visit germany &amp	nice car	electronic nightclubs	nice highways	newark ewr	rental car	
46370	flight / travel strategy	top germany travel/sightseeing lists	pick random things	major cities driving	visit germany &amp	nice car	electronic nightclubs	nice highways	newark ewr	rental car	
46370	flight / travel strategy	top germany travel/sightseeing lists	pick random things	major cities driving	visit germany &amp	nice car	electronic nightclubs	nice highways	newark ewr	rental car	
46372	2 months consecutive validity pass	eurail global pass	city local transport	internal/ local travel	pass valid	nearby cities	children 9 years	city	valid	7 years	
46372	2 months consecutive validity pass	eurail global pass	city local transport	internal/ local travel	pass valid	nearby cities	children 9 years	city	valid	7 years	
46398	schengen airport transit visa	valid uk visa expiring	transit visa	ghanaian passport	visa	valid	usa	chicago	denmark	returning	
46419	early morning	small child	redeye flight	early afternoon	asian airports	9 hours stop	offer day	day room	frankfurt airport	airport lounges	
46428	children holding danish nationality	permanent visa	visitor visa	fast replies	return flight	8 year ago	visit visa	nabila mushtaq	highly appreciated	visited denmark	
46448	5years greek resident permit	greek resident permit holder	nigerian passport holder	uk transit visa	uk embassy	transit visa	british airways	office directing	correct answer	offices including	
46466	uk license plates exempted	implement exit checks	uk exit checks	exit check	eurotunnel/ferry affected	journey time	home office	people driving	people leaving	cars affected	
46443	fairly long trip	fair chance	deutsche bahn	online calls	vpn access	reliable wifi	reliable	work	poznan	open	
46492	visit usa west	car park/gas station/roadside	big city	scenic routes	route doesn	fitted camping	sleep inside	las vegas	states parks	station inside	
46492	visit usa west	car park/gas station/roadside	big city	scenic routes	route doesn	fitted camping	sleep inside	las vegas	states parks	station inside	
46515	trip advisor site offers	main trip advisor page	trip advisor link	constant 4 degrees year	south east england	late victorian age	victorian age	st helen	map marks	local visitors	
46527	turkey black sea beaches suitable	low water quality	beaches worth	water temperature	good beaches	low temperatures	mediterranean coast	short trip	beaches	turkey	
46558	domestic bahamasair flight	jetblue international flight	domestic flight	international flight	nassau airport	nassau	leave	5 hours	transfer	long	
46579	application form	staying longer	schengen area	visa application	application forms	schengen visa	country	submit	mention	issued	
46573	home made snacks	bread / sandwiches	small amount	hand luggage	carrying diseases	safety issues	board security	sealed container	container	board	
46579	application form	staying longer	schengen area	visa application	application forms	schengen visa	country	submit	mention	issued	
46579	application form	staying longer	schengen area	visa application	application forms	schengen visa	country	submit	mention	issued	
46593	round trip ticket	ticket	flight	mexico	paris	back	connection	london	board	
46576	long term general visitor visa	danish work permit	work permit	visa required	entry clearance	indian passport	visit uk	final confirmation	similar situation	indian citizen	
46604	airport security find	airport security officers	bring liquids inside	hand luggage	european/international equivalent	plastic pouch	opaque material	ray machines	ray	shape	
46607	romanian visa rules	romanian visa	legally stay	schengen zone	transition period	related purposes	zealand citizen	find information	work visa	enter romania	
46611	similar limitations deal	stage 4 arthritis	incredibly painful	squat afterward	western toilets	squat toilets	se asia	viet nam	arthritic knees	deal	
46629	peak return	recently traveled	huge number	ticket wasn	return ticket	peak times	machine presented	coming back	train ticket	ticket	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46689	coming back home	schengen countries	entry visa	6 days beginning	staying 10 days	back	entry	11 days	turkey	country	
46702	border control stations	thai passport holder	passport check area	aforementioned question implies	schengen country flying	zurich transfer area	schengen transfer	schengen area	popular question	lhr flight	
46677	online queue management system	population requiring consulate services	appointment wait time	appointment system whatsoever	aforementioned appointment queue	requires services	north america	governments limited	consular division	consular section	
46702	border control stations	thai passport holder	passport check area	aforementioned question implies	schengen country flying	zurich transfer area	schengen transfer	schengen area	popular question	lhr flight	
46720	schengen visa issued	valid schengen visa	b1/b2 visa	b1 visa	business purpose	valid	presently	usa	travel	india	
46741	bought tickets onlines	muhammad usman akram	usman akram	create problem	small difference	difference	immigration	names	passport	ticket	
46744	biometric passport required	electronic passport	visit canada	usa	require	enter	research	flights	layover	
4061	travel health insurance plans	global health insurance plan	additional travel coverages	travel health insurance	researching world nomads	domestic health coverage	world nomads plan	term international trip	health insurance	world nomads	
776	long term travel	bureaucratic overhead	continue working	german citizen	covered internationally	software development	nomadic life	local insurances	health insurance	travel	
776	long term travel	bureaucratic overhead	continue working	german citizen	covered internationally	software development	nomadic life	local insurances	health insurance	travel	
776	long term travel	bureaucratic overhead	continue working	german citizen	covered internationally	software development	nomadic life	local insurances	health insurance	travel	
13304	european health insurance card	equal medical care	provide extra cover	additional travel insurance	travel insurance	extra benefits	foreseeable future	nicely covered	ehic covers	ehic won	
2328	general travel insurance policy	good travel insurance policy	good health traveling	frequently highly recommended	travel insurance	insurance plan	commonly recommended	dizzying array	medical issue	term traveler	
46754	summer school	trip considered	schengen visa	study purpose	study	purpose	applying	touristic	attending	10 days	
46757	hold ghana passport	airside transit visa	transit visa	3 hours transit	usa	visas	uk	lisbon	
46783	ckwl ticket booked online	tatkal automatically cancel	automatically cancelled	cancel	ticket	refund	confirmed	returned	amount	
46746	united states	consul general	addressed envelope	motivated conclusion	visiting canada	citizenship verification	envelope	citizenship	conclusion	verification	
46791	pay special attention	places defined	private property	united kingdom	cite laws/decrees	prevent photography	inside shops	public place	official laws/decrees	taking photos	
46809	largely identical paragraphs	style laminated passport	style biometric	russian passport	separate documents	nuanced differences	year passport	year	point	enumeration	
46810	distance amtrak empire builder train	st paul flexible ticket	amtrak train	amtrak honor	train ticket	similar question	fare increase	saver ticket	saver tickets	earlier station	
46818	visitor visa	transit visa	flying halifax	6 hours till	canada	sister	belarus	flight	minsk	concern	
46803	cuba	reasons	travel	differences	legal	traveling	citizen	tourism	explain	
46821	san francisco	reasonable expense	closest place	mendocino ca	mendocino	fly	oakland	airports	driving	schedule	
46846	entry tourist visa	term visit visa	term visit	day visa	count 90 days	latest date	date	agent	month	single	
46843	23rd april	tourism purposes	supporting documents	schengen visa	entered sweden	spent 31 days	29 days left	visa	sweden	29 days	
46855	frankfurt airport	lake constance	germany travel	citizen entering	enter switzerland	lake	citizen	germany	enter	switzerland	
46860	require lengthy prior appointments	federal law cover	speedy passport issuance	russian passport	passport renewal	construe usps	north america	legal representative	personal attendance	vast territory	
46860	require lengthy prior appointments	federal law cover	speedy passport issuance	russian passport	passport renewal	construe usps	north america	legal representative	personal attendance	vast territory	
46817	previous phone call	booked refundable accommodations	italian consulate requirements	schengen visa interview	italian consulate	schengen visa	changing accomodations	compulsory requirement	officially stamped	people applying	
46866	ve rejected	state department	se asia	birthday weekend	canada &amp	canada	summer	photo	delaying	back	
46870	school study abroad trip	bring local food	bring food	swedish relatives	eu nations	american universities	main answer	food	summer	sites	
46884	work related deputation letter	separate tourist visa	eu blue card	germany residence permit	deputation letter	helpline related	blue card	personal vacation/tourism	native country	european countries	
46890	cities close	nice cities	thought uppsala	enjoy	summer	city	visit	days	6 days	train	
46900	wrong card holder entry	wrong card holder	error affect checking	card holder	credit card	laws consent	received notification	plane ticket	purchase	buy	
46921	quick usa trips	working holiday visa	visa waiver	long weekend	waiver form	90 day waiver	visa	90 day	day	states	
46905	follow check	23 hours distance	separate ticket	iranian passport	days remaining	terminal 3	terminal	dubai	luggage	flight	
46990	german embassy	tourism purpose	3 schengen countries	schengen countries	6 months visa	expected travel	visa valid	countries	valid	visa	
46774	local bank account	good site	renting	flat	countries	kotor	bay	montenegro	month	heard	
46988	1 year residency permit	problems entering greece	problems entering spain	expires june 30th	june 30th	visa expires	stay visa	tourist visa	entering schengen	flying back	
46988	1 year residency permit	problems entering greece	problems entering spain	expires june 30th	june 30th	visa expires	stay visa	tourist visa	entering schengen	flying back	
47007	explosives gas cartridges	maximum dimensions allowed	sealable plastic bag	blades measuring greater	gas cartridge	disposable lighter	restraining tape	international flight	fishing line	replica guns	
47034	lost residence permit card abroad	lost residence permit	pakistani passport holder	student residence permit	eu schengen area	italy tomorrow booked	residence permit	schengen area	local police	czech airlines	
47042	canadian permanent residence	canadian permanent resident	calgary canada	pakistan passport	abu dhabi	zurich airport	transit visa	4 hours layover	travelling	
47020	refugee travel document	italy issue visa	travel document	time needed	italian consulate	travel	issue	refugee	visa	italy	
47048	suitcases en route	baggage en route	lumpy duffel bag	luggage protection bag	travel protection bag	nylon zippered suitcase	baggage handlers	bag makes	size bag	objections valid	
47043	common practice suggested	london return flights	flight booking passenger	uk helpline	travelers encountering	bought delhi	saudi airlines	passenger	booking	airlines	
46946	immigration officer refusing entry	passenger suffered extra travel	30 day entry permitted	tourist visa category	permitted entry	30 day stay	‘tourist visa’	tourist visa	british national	carrier responsible	
47048	suitcases en route	baggage en route	lumpy duffel bag	luggage protection bag	travel protection bag	nylon zippered suitcase	baggage handlers	bag makes	size bag	objections valid	
47061	airline companies	company charge	extra item	extra weight	luggage volumes	carry 2 items	carry 3 items	items	carry	weight	
47075	great places	pretty easy	major cities	find hostels/backpackers	europe	caucasus	wondering	iran	travellers	relax	
47075	great places	pretty easy	major cities	find hostels/backpackers	europe	caucasus	wondering	iran	travellers	relax	
47080	reapply uk general visa	year internship program	sufficient strong ties	current employment circumstance	uk visitor visa	habitual residence	back dated	marriott hotel	pay slips	weeks ago	
47081	personal laptop	indian passport	pay duty	ipad	items	india	live	2 kids	traveling	reader	
47085	music festival	couple days	german consulate	italian consulate	entering germany	schengen visa	germany	visa	obtain	participate	
47107	uk transit vise requirements	direct airside transit visa	uk transit visa process	green card process	indian citizen living	indian citizen travelling	schengen visa appointment	europe trip planned	trip starts	travel document	
47129	united kingdom immigration rules	uk visa refusal	bank account originate	united kingdom	bank statement	accurate reflection	large deposits	receive money	british passport	adequately maintained	
47180	border control officer cut	uk border control denied	border control officer	border control	denied entry	decision ultimately	detention room	artistic directors	film festival	theater/film director	
47173	good restaurant costs	indian food accessible	indian food easily	indian food	normal lunch	tourism purposes	3 euros roughly	european countries	parents don	easily	
47201	klm flight	visa required	schengen visa	tour amsterdam	amsterdam	halt	usa	requiring	4 days	travelling	
47206	book young people service	accompanied child visa returning	uk child visitor visa	accompanied child visa	family visitor visa	accompanied minor visa	child travelling back	mother travels separately	travelling back home	accompanied visa	
47213	uk transit visa required	canadian visitor visa	uk visa	british airway	ukrainian passport	1 night layover	layover	ukraine	canada	booked	
47211	official government website	filipino citizens holding	transit tourists bound	ve found	final destination	korean air	ve heard	south korea	australian visa	country section	
47193	uae resident id	transit visa travelling	transit visa	transit time	schengen visa	pakistani national	pakistani passport	turkey airport	travelling	airport	
47219	sealed packed	amsterdam airport	tourist visa	vat return	phone purchased	phone wont	travelling back	phone	back	unboxed	
47230	good deal	summer	search	april	airfares	expectations	france	possibly	live	place	
47190	ve received range	travel agency quotes	vietnamese visa extension	extension stamp	month extension	recently found	sounds insane	month visa	original visa	cheaply extend	
47256	united states	counter medicine	travel	america	codeine	
40026	long range flight carrying	received minor damage	passenger cabin	compartment shifting	additional luggage	neoprene briefcase	added issue	overhead compartment	landing segments	bubble wrap	
47255	canadian passport	asia tour	tourist visa	return ticket	visa	ticket	buy	singapore	enter	malaysia	
47262	advance booking required	day ferry	south korea	ferry routes	significantly cheaper	advanced bookings	leave china	advanced	china	show	
47263	advanced booking required	day ferry	south korea	ferry routes	leave korea	significantly cheaper	advanced bookings	advanced	show	ready	
47263	advanced booking required	day ferry	south korea	ferry routes	leave korea	significantly cheaper	advanced bookings	advanced	show	ready	
47257	rental car	car	week	hire	return	dublin	travel	scotland	trip	
47272	usmle step 2 cs exam	b1 visa definitions	pure b1 visa	pure b1	coz taking	exam doesn	ve read	pleasure activities	business purpose	visa	
47279	short stay scientific work visa	scientific short stay work	schengen short stay	schengen visa issued	indian national traveling	scientific researcher	work visa	visa interviewer	visa stamp	denied entry	
47279	short stay scientific work visa	scientific short stay work	schengen short stay	schengen visa issued	indian national traveling	scientific researcher	work visa	visa interviewer	visa stamp	denied entry	
47287	experience acoustic deprivation	acoustic anechoic chambers	noise produced inside	noise sources	anechoic chamber	orfield laboratories	quietest place	research facilities	enclosed spaces	urban legend	
47285	short stay scientific work visa	schengen short stay	work start date	tourism related travel	3 day long tourism	indian national traveling	starts 3 days earlier	schengen visa issued	scientific visa	scientific researcher	
47285	short stay scientific work visa	schengen short stay	work start date	tourism related travel	3 day long tourism	indian national traveling	starts 3 days earlier	schengen visa issued	scientific visa	scientific researcher	
47305	indian passport holder	schengen visa type	schengen visa	maximum stay	initial part	main destination	belgium embassy	itinerary italy	belgium	itinerary	
47324	obtain schengen visas prior	schengen 90/180 rule question	schengen questions	schengen area	stone due	27th july	28th july	30th august	alters things	meeting friends	
47314	valid till end	multiple entry	visited poland	schengen visa	indian citizen	visit denmark	denmark	week	august	company	
47314	valid till end	multiple entry	visited poland	schengen visa	indian citizen	visit denmark	denmark	week	august	company	
47305	indian passport holder	schengen visa type	schengen visa	maximum stay	initial part	main destination	belgium embassy	itinerary italy	belgium	itinerary	
47314	valid till end	multiple entry	visited poland	schengen visa	indian citizen	visit denmark	denmark	week	august	company	
44247	single entry schengen visa	chinese international student	german schengen visa	czech schengen visa	schengen visa	czech visa	german embassy	czech republic	czech embassy	fly back	
44247	single entry schengen visa	chinese international student	german schengen visa	czech schengen visa	schengen visa	czech visa	german embassy	czech republic	czech embassy	fly back	
47362	paddington station	gatwick airport	direct connection	connection	great	opportiunity	travel	thing	quickest	cab	
47368	transport service	transport services	gatwick airport	london downtown	gatwick	london	week	uber	give	thinking	
47368	transport service	transport services	gatwick airport	london downtown	gatwick	london	week	uber	give	thinking	
47368	transport service	transport services	gatwick airport	london downtown	gatwick	london	week	uber	give	thinking	
47398	fly	cost	family	vietnamese	transit	visit	visa	similar	vietnam	
47401	flight reservation	booking obligatory	closed today	travel itinerary	consulate general	international student	french visa	airline ticket	ticket	visa	
47393	tourist visa 3 years ago	mexican drivers license	college student id	3 years ago	tourist visa	photo id	san diego	ve heard	travel inside	legal resident	
47376	russian friend invited	private apartments	united states	trouble attempting	private visa	invited	airbnb	summer 2015	register	staying	
47401	flight reservation	booking obligatory	closed today	travel itinerary	consulate general	international student	french visa	airline ticket	ticket	visa	
47411	government institution responsible	bad situation	embassy make	invitation letter	visa process	visa	poland	put	send	airport	
47415	berlin central station	tegel airport	bahn website	berlin station	similar question	station	berlin	question	lots	train	
47417	savings fare&rdquo	online tickets	passport count	identification card	bahn website	valid identification	german trains	trains	requirement	&ldquo	
47438	canadian citizen	visit ny	canadian passport	esta waiver	esta	fly	summer	lives	belgium	apply	
47434	bogus return ticket	blq lufthansa flight	airlines exclusively count	make people decide	airlines count	return flight	airlines addressing	airlines explain	official airlines	feel ripped	
47434	bogus return ticket	blq lufthansa flight	airlines exclusively count	make people decide	airlines count	return flight	airlines addressing	airlines explain	official airlines	feel ripped	
47434	bogus return ticket	blq lufthansa flight	airlines exclusively count	make people decide	airlines count	return flight	airlines addressing	airlines explain	official airlines	feel ripped	
47434	bogus return ticket	blq lufthansa flight	airlines exclusively count	make people decide	airlines count	return flight	airlines addressing	airlines explain	official airlines	feel ripped	
47449	guaranteed monthly income	south african citizen	monthly income	usa/eu citizen	south america	internet connection	live lavishly	money saved	usa visa	current situation	
47449	guaranteed monthly income	south african citizen	monthly income	usa/eu citizen	south america	internet connection	live lavishly	money saved	usa visa	current situation	
47472	weight isn	bringing chocolate	chocolate	bringing	melting	issue	flight	thinking	friends	baggage	
47492	hold schengen visa type	multiple entries valid	schengen visa overlap	half year allowance	half year ends	half year	eu zone	total stay	make 104 days	visa	
47505	south african passport holder travelling	official uk visa website	uk transit visa needed	transit visa	south africa	switch airports	comment	gatwick	usa	require	
47530	similar automatically generated response	airline persistently doesn	automatically generated	proper response	deserved response	single response	pursuing action	refund request	email address	costly ways	
47550	common format residence permit issued	uk transit visa question	uniform format category	european economic area	work visa qualifies	irish biometric visa	test found	couple items	transit	visa	
46974	considered safe time frame	quickest schengen visa	tourist schengen visa	issued schengen visa	business visa issued	3 weeks time	business visa	1 visa living	student visa	visa approval	
47561	canada transit visa process	hold indian passport	transit visa	24 hour window	processing time	add time	agent warned	canada consulate	documents provided	canada	
47564	90 day visa waiver applies	schengen visa waiver	residence permit renewal	residence permit expires	residence permits	schengen area	turnaround time	long time	estimate includes	practical sense	
47568	meet arriving passenger inside airport	enter t3 departure hall	t3 arrival area	sin airport	singapore airport	meet&amp	formats earlier	greet services	cheapest ticket	refundable ticket	
47575	called san francisco german consulate	german consulate site	international transit zones	airport transit visa	india visa munich	transit visa	united states	booked flight	recent experience	residence permits	
47568	meet arriving passenger inside airport	enter t3 departure hall	t3 arrival area	sin airport	singapore airport	meet&amp	formats earlier	greet services	cheapest ticket	refundable ticket	
47581	takes roughly 11 hours	start serving meals	expecting lunch	dinner time	haul flight	meal timing	meals	meal	figure	turned	
47584	existing passport prior	russian passport	full term	month restriction	official laws	existing	past	apply	6 months	find	
47584	existing passport prior	russian passport	full term	month restriction	official laws	existing	past	apply	6 months	find	
47606	american citizen travelling	naturalized american travelling	ghana airport coming	uk visa	ghana	visa	uk	show	london	
47607	currency rate completely wrong	personal bank statement shows	previous refusal notice shows	widowed 4 years ago	refusal notice	bank accounts	refusal omits	refusal found	visa refusal	tenancy agreement	
47620	valid usa ead documents	international travel lounge	june 1st week	hold indian passport	valid usa visa	ead documents	indian citizens	transit visa	waiting area	transit flight	
47586	separate return flight	outbound flight	separate date	return	fly	tickets	buy	reason	suppose	travelling	
47660	russian passport inadvertently expire prior	specifically declared worthless	effectively illegally refusing	consulates routinely violate	supposedly explicitly prohibited	immediately returned back	process simply changed	service time limits	invalidated russian passports	expired russian passports	
47660	russian passport inadvertently expire prior	specifically declared worthless	effectively illegally refusing	consulates routinely violate	supposedly explicitly prohibited	immediately returned back	process simply changed	service time limits	invalidated russian passports	expired russian passports	
